20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: n:
 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: t: 	 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: name: Limit Break (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: duration: 00:00 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: DURATION: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: damage: 231060 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: damage-m: 0.23 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: damage-b: 0.00 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: DAMAGE-k: 231 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: DAMAGE-m: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: DAMAGE-b: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
